,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
543,10,15,30,15,160,1707,86,4848,39,0
544,10,15,30,15,250,1712,89,4846,37,0
545,10,15,30,15,320,1707,91,4847,36,0
546,10,15,60,5,20,2638,109,5022,75,0
547,10,15,60,5,30,2860,140,5080,72,0
548,10,15,60,5,40,2960,148,5085,73,0
549,10,15,60,5,80,2992,156,5051,72,0
550,10,15,60,5,160,2997,184,5045,73,0
551,10,15,60,5,250,3000,187,5043,76,0
552,10,15,60,5,320,2993,169,5043,73,0
553,10,15,60,10,20,1511,55,4746,45,0
554,10,15,60,10,30,2031,84,4923,46,0
555,10,15,60,10,40,2196,110,4969,52,0
556,10,15,60,10,80,2310,121,4972,56,0
557,10,15,60,10,160,2329,119,4964,47,0
558,10,15,60,10,250,2327,139,4962,50,0
559,10,15,60,10,320,2334,129,4964,51,0
560,10,15,60,15,20,741,25,4233,37,0
561,10,15,60,15,30,1404,50,4756,37,0
562,10,15,60,15,40,1645,70,4854,40,0
